Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKNL - Non-performing loans net of provisions to capital (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
CIV,-1.17285454273224,4.4407339416887694,10.20916641875805,-8.835904920753995,16.819465815747808,81.0165173515706,-1.29745149612427,4.24784012817341,0.21,3.33,8.83416968707681,2.95,2.16,12.0,32.5235696519592,14.989795857178,58.2756349919052,3.88005372781956,38.6832642250841,6.000000000000001,6.0,-0.9262225627899171,-1.23600256443024,37.8322011028794,7.21643946695234,7008.705883178341,30.0,62.13125,-1.04839730262756
CMR,-1.07531774044037,10.1013484732753,4.339761679320631,25.8022281470196,8.77972491290812,65.4314764689796,-0.903040051460266,7.233408817151038,0.02,2.56,3.24126787056765,2.6,2.11,12.0,11.446956809164602,7.61195832912182,71.5729218507137,10.5611293898496,47.0337433893858,6.000000000000001,6.0,-0.753017663955688,-1.0792441368103003,50.6327279323192,4.6751144828475,4752.34321354632,40.0,66.96875,-1.058274269104
COD,-1.45788669586182,8.905745337913032,10.531584243374958,24.085196355034558,17.677568648943133,45.5553259576559,-1.71895897388458,0.0,0.0,2.223417852815649,17.3443129181678,2.43,2.6,12.0,7.309645111228563,12.356935783391588,11.9095822018005,11.7785956255377,40.4792401493045,6.000000000000001,6.0,-1.54808306694031,-1.62714993953705,37.5993158688842,6.5489183699881215,1692.7271982504,20.0,46.76875,-1.4091020822525
COG,-1.15732026100159,0.964372338705331,4.87161029279935,-0.4342185867175968,12.743002448583301,33.9492747005469,-1.23575270175934,15.495757819424165,0.01,0.89,3.35968294681038,2.33,2.02,12.0,83.4231834340979,2.41531841479683,50.6918146481242,22.1433577539953,49.8781874519982,6.000000000000001,6.0,-1.25216734409332,-1.21804785728455,25.4331744328979,4.664700550803431,5709.86515769273,40.0,43.10625,-1.06274175643921
COL,-0.4233331084251399,2.8633765635499904,9.79384919063988,-10.0251254118825,12.963996852083502,47.6842020333254,-0.12382414191961306,5.36253459586992,0.15,9.63,7.7499337232142596,2.75,2.5,11.0,35.97156721405,24.9529861995503,71.2494150727575,5.41291993061141,55.85209406160519,5.0,6.0,0.157253935933113,-0.2713856101036069,53.3990736315847,5.174984598260141,10707.4528844702,60.0,71.3625,-0.13235718011856093
COM,-0.786249220371246,15.659583783388202,17.3647301705058,15.3468502208374,20.5739782955882,33.63590031550793,-1.75022375583649,0.0,0.09,1.6599999999999997,24.2914139967083,2.79,1.96,12.0,3.2697215509536592,7.214284521304833,69.6817731104595,4.07770238082636,57.4112496448652,6.000000000000001,6.0,-1.39589881896973,-1.07623052597046,53.1898732144818,-0.05513167175512018,7290.8537160322,0.0,46.44375,-0.42228689789771995
CPV,0.8771525621414182,9.824820377287132,8.534493869138261,40.67924382798464,14.728441799567529,43.298538383128,-0.10074423998594295,0.0,0.54,7.55,4.58697425102158,2.8203598775246324,2.3203792229574,12.0,0.0,27.1,97.20175424331292,0.248565539995247,85.6491465867898,6.000000000000001,6.0,-0.14643935859203297,0.46327784657478294,67.4390099531524,3.31922790352574,9549.95594224641,40.0,61.7,0.8946775197982788
CRI,0.6643916368484502,1.8552046455176,8.41416333423251,-0.22701705820873416,13.472159856676702,48.3709015347037,0.29892888665199324,40.1473130677601,19.910000000000004,17.72,10.716467111824302,3.13,2.61,12.0,58.9444468669465,19.2828248039817,71.0740373035349,5.20415500117118,70.0949255075193,6.000000000000001,6.0,0.5860270261764532,0.5357608795166022,61.907753060789005,6.116591044375969,23780.2707494694,50.0,70.5375,1.03988945484161
CUB,0.30864289402961703,6.202603111552163,10.386221598349795,16.10770155916519,15.568126417452742,58.44539806715535,-0.3348068296909331,14.391228941303472,8.080671680109889,6.354542345435584,1.754092721108049,2.03,1.79,12.0,63.4252817474909,16.22284767909,68.5797165167228,17.6477923851398,42.125764591295,6.000000000000001,6.0,-1.67191302776337,-0.722509026527405,72.469220246238,3.9502885042165894,17353.0055600948,40.0,43.05625,-1.61688709259033
CYP,0.969285845756531,5.82172259923197,6.003997357115189,37.9731681150526,10.913975879883901,56.3756238831722,1.52651119232178,38.2015198109537,9.17,4.69,7.406579033011571,3.51,2.9200000000000004,12.0,60.4307863040994,13.9485672821146,80.1562046025877,4.07125256087869,87.120875998571,6.000000000000001,6.0,1.4210232496261601,1.2096072435379,71.6413288911788,3.8510193500280305,36335.8234002831,60.0,53.63125,1.02339065074921
